"Gene","Count","Phenotypes"
"Zm00001eb212250",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb212270",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb218670",5,"MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;MLM_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb218680",5,"MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;MLM_envGWAS_N;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb223810",5,"Fst_N_Sorghum;Fst_NHx_sorghum;MLM_envGWAS_NHx_sorghum"
"Zm00001eb231770",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_NHx_sorghum;Fst_NHx_maize;FarmCPU_envGWAS_N"
"Zm00001eb231790",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_NHx_maize;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb231800",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_NHx_maize;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb231810",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_NHx_sorghum;Fst_NHx_maize;FarmCPU_envGWAS_N"
"Zm00001eb232010",5,"Fst_Jarvis;Fst_N_Sorghum;Fst_NHx_maize;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb232780",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb232800",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb232850",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;Fst_N_Sorghum;FarmCPU_envGWAS_NHx;Fst_NHx_sorghum"
"Zm00001eb251390",5,"TajimaD_IndianChief;MLM_envGWAS_N;FarmCPU_envGWAS_N;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb261210",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb268500",5,"MLM_envGWAS_NHx;Fst_NHx_maize;Fst_N_maize;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb268510",5,"MLM_envGWAS_NHx;Fst_NHx_maize;Fst_N_maize;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb275230",5,"Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx;MLM_envGWAS_N_sorghum"
"Zm00001eb287220",5,"FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;Fst_N_maize;TajimaD_Jarvis;FarmCPU_envGWAS_NHx"
"Zm00001eb290290",5,"MLM_envGWAS_NHx;Fst_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb290300",5,"MLM_envGWAS_NHx;Fst_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb290310",5,"Fst_NHx_sorghum;MLM_envGWAS_NHx;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb296110",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;MLM_envGWAS_N_sorghum;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb302620",5,"FarmCPU_envGWAS_NHx;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb302630",5,"FarmCPU_envGWAS_NHx;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb313960",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb314010",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb317370",5,"Fst_N_Sorghum;Fst_NHx_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb318590",5,"TajimaD_Jarvis;TajimaD_IndianChief;FarmCPU_envGWAS_N;MLM_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb322130",5,"FarmCPU_envGWAS_NHx;TajimaD_Jarvis;MLM_envGWAS_NHx;TajimaD_IndianChief;Fst_N_Sorghum"
"Zm00001eb323770",5,"MLM_envGWAS_NHx;TajimaD_Jarvis;MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb323780",5,"TajimaD_Jarvis;Fst_N_maize;MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb331540",5,"Fst_N_Sorghum;Fst_NHx_sorghum;Fst_N_maize;MLM_envGWAS_NHx;MLM_envGWAS_N"
"Zm00001eb331550",5,"Fst_N_Sorghum;Fst_NHx_sorghum;Fst_N_maize;MLM_envGWAS_NHx;MLM_envGWAS_N"
"Zm00001eb334410",5,"MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb334420",5,"MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb334460",5,"MLM_envGWAS_N;Fst_NHx_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb334470",5,"MLM_envGWAS_N;MLM_envGWAS_NHx_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb351850",5,"Fst_N_Sorghum;Fst_NHx_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb357290",5,"FarmCPU_envGWAS_NHx;MLM_envGWAS_N;Fst_Jarvis;MLM_envGWAS_NHx;FarmCPU_envGWAS_N"
"Zm00001eb366400",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb366510",5,"FarmCPU_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb366520",5,"FarmCPU_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb366530",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N;Fst_N_Sorghum"
"Zm00001eb389140",5,"Fst_Jarvis;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;Fst_N_maize;FarmCPU_envGWAS_NHx"
"Zm00001eb389600",5,"TajimaD_Jarvis;MLM_envGWAS_NHx;Fst_N_maize;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb397130",5,"MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;TajimaD_Jarvis;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb397150",5,"MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;TajimaD_Jarvis"
"Zm00001eb397170",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_NHx;Fst_N_Sorghum;FarmCPU_envGWAS_NHx;TajimaD_Jarvis"
"Zm00001eb397500",5,"FarmCPU_envGWAS_N;MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb397510",5,"FarmCPU_envGWAS_N;MLM_envGWAS_N;FarmCPU_envGWAS_N_sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb397520",5,"FarmCPU_envGWAS_N;MLM_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb403760",5,"Fst_Jarvis;MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb403770",5,"Fst_Jarvis;MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb403780",5,"Fst_Jarvis;MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb403790",5,"Fst_Jarvis;MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb403800",5,"Fst_Jarvis;MLM_envGWAS_N;FarmCPU_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx"
"Zm00001eb414570",5,"FarmCPU_envGWAS_N;MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb417930",5,"FarmCPU_envGWAS_NHx;TajimaD_IndianChief;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb417940",5,"FarmCPU_envGWAS_NHx;TajimaD_IndianChief;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb417950",5,"FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_NHx;TajimaD_IndianChief;FarmCPU_envGWAS_N"
"Zm00001eb419980",5,"MLM_envGWAS_NHx;MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx;Fst_NHx_sorghum"
"Zm00001eb427520",5,"MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb428150",5,"FarmCPU_envGWAS_N;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;MLM_envGWAS_N;Fst_N_Sorghum"
"Zm00001eb001630",4,"MLM_envGWAS_NHx;MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N"
